,Title,Location,Start_Date,End_Date,Filter,URL
0,USC Dance In Concert with Bill T. Jones/Arnie Zane Company,Koger Center for the Arts,2023-04-2 14:00:00,2023-04-2 16:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D685652787
1,Halo Week Celsius Sale,Davis Field I - RHUU Side Space 2,2023-04-3 10:00:00,2023-04-3 2:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D844758430
2,Mindful Stroll Mondays,Location TBD,2023-04-3 10:00:00,2023-04-3 10:30:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D793196555
3,Recovery Café,Location TBD,2023-04-3 10:00:00,2023-04-3 12:30:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D783512272
4,South Carolina Honors College Admitted Student Panel,Harper Elliott 320,2023-04-3 10:00:00,2023-04-3 11:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D783447924
5,Entrepreneurship Coaching + Info Table,RHUU Russell House Patio Space 01,2023-04-3 11:00:00,2023-04-3 2:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D844901748
6,South Carolina Honors College Information Session,Harper Elliott 320,2023-04-3 11:45:00,2023-04-3 12:30:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D783447925
7,Courageous Carolina-Mental Health Ambassador,Davis Field I - RHUU Side Space 3,2023-04-3 12:00:00,2023-04-3 14:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D846931581
8,Off-Campus Housing Showcase - Stadium Suites,Davis Field I - RHUU Side Space 4,2023-04-5 11:00:00,2023-04-5 2:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D812353233
9,Summer Opportunities Fair,Location TBD,2023-04-5 11:00:00,2023-04-5 2:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D850201396
10,Courageous Carolina-Mental Health Ambassador,Davis Field I - RHUU Side Space 3,2023-04-5 12:00:00,2023-04-5 14:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D846931582
11,CIC Career Fair,Russell House Ballroom BC,2023-04-5 14:00:00,2023-04-5 16:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D850843980
12,Donation Drive,Davis Field I - RHUU Side Space 2,2023-04-5 14:00:00,2023-04-5 15:00:00,UofSC Event,https://www.sc.edu/calendar/uofsc/?trumbaEmbed=view%3Devent%26eventid%3D855536711
